日期,中壢,湖口,泰安,西螺,新營,仁德,關西,西湖,清水,南投,古坑,東山,關廟,石碇,蘇澳
2023/3/13,"258,402","339,193","1,149,643","991,229","553,534","536,340","1,025,625","720,348","1,706,276","589,758","316,491","957,514","362,180","271,716","447,951"
2023/3/14,"289,003","352,725","896,285","857,689","510,154","443,104","920,868","589,467","1,165,641","562,501","280,693","760,769","210,518","255,417","333,210"
2023/3/15,"312,805","385,951","948,507","891,931","516,560","479,235","948,879","636,392","1,267,186","589,045","212,857","892,378","209,358","256,315","309,381"
2023/3/16,"274,024","333,976","902,922","865,635","535,536","431,769","948,342","595,362","1,265,251","527,388","280,912","729,095","191,591","265,123","353,708"
2023/3/17,"325,668","378,292","1,131,487","1,250,899","730,038","484,055","1,380,150","910,398","1,868,974","778,508","410,341","922,133","244,375","342,700","503,768"
2023/3/18,"395,809","620,702","1,919,763","1,914,110","946,973","767,461","2,199,527","1,643,847","3,311,993","1,374,135","789,436","1,861,638","466,367","386,133","614,711"
2023/3/19,"421,398","845,210","1,857,164","2,031,705","1,091,119","841,527","2,361,268","1,533,136","3,543,778","140,259","797,708","2,095,991","502,040","462,165","750,366"
2023/3/20,"272,231","366,880","1,235,843","1,107,504","528,025","624,156","1,094,613","820,693","1,642,192","586,985","320,354","1,004,062","423,169","503,382","511,828"
2023/3/21,"278,785","392,677","928,216","912,510","437,319","578,453","985,713","598,630","1,157,562","539,424","336,127","684,227","237,765","391,805","388,247"
2023/3/22,"256,698","308,341","834,370","822,709","528,984","448,791","899,367","552,019","1,099,184","504,760","231,657","649,994","200,951","268,514","414,970"
2023/3/23,"268,411","311,528","864,954","854,334","462,578","455,806","939,396","571,912","1,124,706","654,267","214,178","664,341","222,340","239,566","393,747"
2023/3/24,"317,370","458,448","1,143,842","1,199,930","575,367","711,369","1,099,816","736,775","1,227,235","585,044","314,942","813,240","239,437","277,751","501,044"
2023/3/25,"331,964","457,335","1,438,100","1,460,585","696,380","636,899","1,673,114","1,190,030","2,508,549","910,135","512,696","1,241,634","312,970","331,544","678,084"
2023/3/26,"394,892","769,218","1,757,210","1,834,520","853,856","783,571","2,063,293","1,508,418","3,274,606","1,260,657","633,312","1,782,516","462,662","428,226","710,340"
2023/3/27,"427,133","422,213","1,199,918","991,990","624,169","545,694","1,114,002","1,041,585","1,729,313","544,095","301,024","828,674","330,076","295,626","565,752"
2023/3/28,"269,297","424,820","916,396","849,430","511,356","468,970","942,809","563,568","1,087,299","517,149","248,310","689,882","240,029","306,438","383,559"
2023/3/29,"274,398","353,024","964,788","865,574","525,789","472,159","971,989","555,411","1,181,130","528,560","220,584","820,112","217,921","223,722","383,161"
2023/3/30,"266,273","333,792","971,611","938,443","537,209","563,876","1,014,619","656,424","1,298,958","551,994","276,018","674,963","203,739","238,922","387,850"
