date,year,month,day,rest stop,revenue
2023-12-22,2023,12,22,中壢,373997
2023-12-23,2023,12,23,中壢,404237
2023-12-24,2023,12,24,中壢,431424
2023-12-25,2023,12,25,中壢,328498
2023-12-26,2023,12,26,中壢,280394
2023-12-27,2023,12,27,中壢,363610
2023-12-28,2023,12,28,中壢,511373
2023-12-29,2023,12,29,中壢,366295
2023-12-30,2023,12,30,中壢,446933
2023-12-31,2023,12,31,中壢,614486
2023-01-01,2023,1,1,湖口,1152276
2023-01-02,2023,1,2,湖口,927699
2023-01-03,2023,1,3,湖口,426526
2023-01-04,2023,1,4,湖口,480864
2023-01-05,2023,1,5,湖口,430331
2023-01-06,2023,1,6,湖口,558001
2023-01-07,2023,1,7,湖口,633722
2023-01-08,2023,1,8,湖口,768471
2023-01-09,2023,1,9,湖口,514132
2023-01-10,2023,1,10,湖口,490243
2023-01-11,2023,1,11,湖口,522826
2023-01-12,2023,1,12,湖口,504297
2023-01-13,2023,1,13,湖口,627299
2023-01-14,2023,1,14,湖口,896762
2023-01-15,2023,1,15,湖口,723419
2023-01-16,2023,1,16,湖口,619110
2023-01-17,2023,1,17,湖口,490897
2023-01-18,2023,1,18,湖口,592985
2023-01-19,2023,1,19,湖口,797859
2023-01-20,2023,1,20,湖口,1062295
2023-01-21,2023,1,21,湖口,1041415
2023-01-22,2023,1,22,湖口,1933888
2023-01-23,2023,1,23,湖口,2110387
2023-01-24,2023,1,24,湖口,2373235
2023-01-25,2023,1,25,湖口,2263422
2023-01-26,2023,1,26,湖口,2084216
2023-01-27,2023,1,27,湖口,1728908
2023-01-28,2023,1,28,湖口,1269544
2023-01-29,2023,1,29,湖口,909412
2023-01-30,2023,1,30,湖口,946695
2023-01-31,2023,1,31,湖口,793592
2023-02-01,2023,2,1,湖口,632689
2023-02-02,2023,2,2,湖口,606704
2023-02-03,2023,2,3,湖口,788911
2023-02-04,2023,2,4,湖口,857063
2023-02-05,2023,2,5,湖口,923419
2023-02-06,2023,2,6,湖口,772022
2023-02-07,2023,2,7,湖口,668200
2023-02-08,2023,2,8,湖口,686130
2023-02-09,2023,2,9,湖口,676610
2023-02-10,2023,2,10,湖口,807105
2023-02-11,2023,2,11,湖口,1282001
2023-02-12,2023,2,12,湖口,1475702
2023-02-13,2023,2,13,湖口,587448
2023-02-14,2023,2,14,湖口,581650
2023-02-15,2023,2,15,湖口,526349
2023-02-16,2023,2,16,湖口,547761
2023-02-17,2023,2,17,湖口,606112
2023-02-18,2023,2,18,湖口,841999
2023-02-19,2023,2,19,湖口,1063359
2023-02-20,2023,2,20,湖口,611220
2023-02-21,2023,2,21,湖口,538747
2023-02-22,2023,2,22,湖口,507340
2023-02-23,2023,2,23,湖口,597805
2023-02-24,2023,2,24,湖口,754590
2023-02-25,2023,2,25,湖口,1371072
2023-02-26,2023,2,26,湖口,1745342
2023-02-27,2023,2,27,湖口,1809265
2023-02-28,2023,2,28,湖口,1161415
2023-03-01,2023,3,1,湖口,456555
2023-03-02,2023,3,2,湖口,294257
2023-03-03,2023,3,3,湖口,350084
2023-03-04,2023,3,4,湖口,562835
2023-03-05,2023,3,5,湖口,691136
2023-03-06,2023,3,6,湖口,332788
2023-03-07,2023,3,7,湖口,316911
2023-03-08,2023,3,8,湖口,377888
2023-03-09,2023,3,9,湖口,339737
2023-03-10,2023,3,10,湖口,443060
2023-03-11,2023,3,11,湖口,599025
2023-03-12,2023,3,12,湖口,829069
2023-03-13,2023,3,13,湖口,339193
2023-03-14,2023,3,14,湖口,352725
2023-03-15,2023,3,15,湖口,385951
2023-03-16,2023,3,16,湖口,333976
2023-03-17,2023,3,17,湖口,378292
2023-03-18,2023,3,18,湖口,620702
2023-03-19,2023,3,19,湖口,845210
2023-03-20,2023,3,20,湖口,366880
2023-03-21,2023,3,21,湖口,392677
2023-03-22,2023,3,22,湖口,308341
2023-03-23,2023,3,23,湖口,311528
2023-03-24,2023,3,24,湖口,458448
2023-03-25,2023,3,25,湖口,457335
2023-03-26,2023,3,26,湖口,769218
2023-03-27,2023,3,27,湖口,422213
2023-03-28,2023,3,28,湖口,424820
2023-03-29,2023,3,29,湖口,353024
2023-03-30,2023,3,30,湖口,333792
2023-03-31,2023,3,31,湖口,522572
2023-04-01,2023,4,1,湖口,1661558
2023-04-02,2023,4,2,湖口,1806550
2023-04-03,2023,4,3,湖口,1610528
2023-04-04,2023,4,4,湖口,1480745
2023-04-05,2023,4,5,湖口,1197774
2023-04-06,2023,4,6,湖口,626316
2023-04-07,2023,4,7,湖口,689478
2023-04-08,2023,4,8,湖口,935574
2023-04-09,2023,4,9,湖口,998387
2023-04-10,2023,4,10,湖口,635268
2023-04-11,2023,4,11,湖口,593614
2023-04-12,2023,4,12,湖口,617932
2023-04-13,2023,4,13,湖口,590685
2023-04-14,2023,4,14,湖口,730815
2023-04-15,2023,4,15,湖口,992069
2023-04-16,2023,4,16,湖口,1079436
2023-04-17,2023,4,17,湖口,601935
2023-04-18,2023,4,18,湖口,587561
2023-04-19,2023,4,19,湖口,575046
2023-04-20,2023,4,20,湖口,635373
2023-04-21,2023,4,21,湖口,751962
2023-04-22,2023,4,22,湖口,1118821
2023-04-23,2023,4,23,湖口,1145760
2023-04-24,2023,4,24,湖口,631826
2023-04-25,2023,4,25,湖口,599595
2023-04-26,2023,4,26,湖口,658241
2023-04-27,2023,4,27,湖口,798485
2023-04-28,2023,4,28,湖口,771872
2023-04-29,2023,4,29,湖口,1202373
2023-04-30,2023,4,30,湖口,1523583
2023-05-01,2023,5,1,湖口,1068305
2023-05-02,2023,5,2,湖口,518688
2023-05-03,2023,5,3,湖口,550515
2023-05-04,2023,5,4,湖口,559235
2023-05-05,2023,5,5,湖口,715547
2023-05-06,2023,5,6,湖口,966281
2023-05-07,2023,5,7,湖口,1135681
2023-05-08,2023,5,8,湖口,694737
2023-05-09,2023,5,9,湖口,575404
2023-05-10,2023,5,10,湖口,572768
2023-05-11,2023,5,11,湖口,568519
2023-05-12,2023,5,12,湖口,813723
2023-05-13,2023,5,13,湖口,1043907
2023-05-14,2023,5,14,湖口,1189782
2023-05-15,2023,5,15,湖口,662229
2023-05-16,2023,5,16,湖口,589178
2023-05-17,2023,5,17,湖口,591619
2023-05-18,2023,5,18,湖口,600292
2023-05-19,2023,5,19,湖口,783549
2023-05-20,2023,5,20,湖口,1151464
2023-05-21,2023,5,21,湖口,1168634
2023-05-22,2023,5,22,湖口,612352
2023-05-23,2023,5,23,湖口,547558
2023-05-24,2023,5,24,湖口,570853
2023-05-25,2023,5,25,湖口,680318
2023-05-26,2023,5,26,湖口,746125
2023-05-27,2023,5,27,湖口,1249015
2023-05-28,2023,5,28,湖口,1255404
2023-05-29,2023,5,29,湖口,570310
2023-05-30,2023,5,30,湖口,640826
2023-05-31,2023,5,31,湖口,636060
2023-06-01,2023,6,1,湖口,552476
2023-06-02,2023,6,2,湖口,680785
2023-06-03,2023,6,3,湖口,1092858
2023-06-04,2023,6,4,湖口,1175600
2023-06-05,2023,6,5,湖口,599294
2023-06-06,2023,6,6,湖口,555955
2023-06-07,2023,6,7,湖口,638191
2023-06-08,2023,6,8,湖口,548252
2023-06-09,2023,6,9,湖口,699940
2023-06-10,2023,6,10,湖口,1137611
2023-06-11,2023,6,11,湖口,1161530
2023-06-12,2023,6,12,湖口,613762
2023-06-13,2023,6,13,湖口,610392
2023-06-14,2023,6,14,湖口,634630
2023-06-15,2023,6,15,湖口,666990
2023-06-16,2023,6,16,湖口,763881
2023-06-17,2023,6,17,湖口,1001160
2023-06-18,2023,6,18,湖口,1160528
2023-06-19,2023,6,19,湖口,654985
2023-06-20,2023,6,20,湖口,658815
2023-06-21,2023,6,21,湖口,986646
2023-06-22,2023,6,22,湖口,1366796
2023-06-23,2023,6,23,湖口,1448583
2023-06-24,2023,6,24,湖口,1594608
2023-06-25,2023,6,25,湖口,1372314
2023-06-26,2023,6,26,湖口,710225
2023-06-27,2023,6,27,湖口,837521
2023-06-28,2023,6,28,湖口,776379
2023-06-29,2023,6,29,湖口,643975
2023-06-30,2023,6,30,湖口,1039274
2023-07-01,2023,7,1,湖口,1253171
2023-07-02,2023,7,2,湖口,1174251
2023-07-03,2023,7,3,湖口,732150
2023-07-04,2023,7,4,湖口,615896
2023-07-05,2023,7,5,湖口,706132
2023-07-06,2023,7,6,湖口,724020
2023-07-07,2023,7,7,湖口,837394
2023-07-08,2023,7,8,湖口,1100920
2023-07-09,2023,7,9,湖口,1142911
2023-07-10,2023,7,10,湖口,757667
2023-07-11,2023,7,11,湖口,739127
2023-07-12,2023,7,12,湖口,695225
2023-07-13,2023,7,13,湖口,752693
2023-07-14,2023,7,14,湖口,868851
2023-07-15,2023,7,15,湖口,1153924
2023-07-16,2023,7,16,湖口,1272734
2023-07-17,2023,7,17,湖口,765933
2023-07-18,2023,7,18,湖口,674661
2023-07-19,2023,7,19,湖口,728412
2023-07-20,2023,7,20,湖口,770496
2023-07-21,2023,7,21,湖口,885466
2023-07-22,2023,7,22,湖口,1231668
2023-07-23,2023,7,23,湖口,1334452
2023-07-24,2023,7,24,湖口,787811
2023-07-25,2023,7,25,湖口,821849
2023-07-26,2023,7,26,湖口,636954
2023-07-27,2023,7,27,湖口,750026
2023-07-28,2023,7,28,湖口,832345
2023-07-29,2023,7,29,湖口,1209609
2023-07-30,2023,7,30,湖口,1373827
2023-07-31,2023,7,31,湖口,945056
2023-08-01,2023,8,1,湖口,673954
2023-08-02,2023,8,2,湖口,623059
2023-08-03,2023,8,3,湖口,594219
2023-08-04,2023,8,4,湖口,817088
2023-08-05,2023,8,5,湖口,1183607
2023-08-06,2023,8,6,湖口,1228068
2023-08-07,2023,8,7,湖口,778091
2023-08-08,2023,8,8,湖口,659951
2023-08-09,2023,8,9,湖口,750118
2023-08-10,2023,8,10,湖口,849142
2023-08-11,2023,8,11,湖口,937811
2023-08-12,2023,8,12,湖口,1284446
2023-08-13,2023,8,13,湖口,1434489
2023-08-14,2023,8,14,湖口,858228
2023-08-15,2023,8,15,湖口,784880
2023-08-16,2023,8,16,湖口,670012
2023-08-17,2023,8,17,湖口,753248
2023-08-18,2023,8,18,湖口,884146
2023-08-19,2023,8,19,湖口,1209633
2023-08-20,2023,8,20,湖口,1315059
2023-08-21,2023,8,21,湖口,842968
2023-08-22,2023,8,22,湖口,766105
2023-08-23,2023,8,23,湖口,708109
2023-08-24,2023,8,24,湖口,784947
2023-08-25,2023,8,25,湖口,1050078
2023-08-26,2023,8,26,湖口,1274324
2023-08-27,2023,8,27,湖口,1423322
2023-08-28,2023,8,28,湖口,764484
2023-08-29,2023,8,29,湖口,850850
2023-08-30,2023,8,30,湖口,486223
2023-08-31,2023,8,31,湖口,879303
2023-09-01,2023,9,1,湖口,727274
2023-09-02,2023,9,2,湖口,1117434
2023-09-03,2023,9,3,湖口,968172
2023-09-04,2023,9,4,湖口,556006
2023-09-05,2023,9,5,湖口,562977
2023-09-06,2023,9,6,湖口,635200
2023-09-07,2023,9,7,湖口,695344
2023-09-08,2023,9,8,湖口,722430
2023-09-09,2023,9,9,湖口,1300372
2023-09-10,2023,9,10,湖口,1321131
2023-09-11,2023,9,11,湖口,667727
2023-09-12,2023,9,12,湖口,642093
2023-09-13,2023,9,13,湖口,564751
2023-09-14,2023,9,14,湖口,678876
2023-09-15,2023,9,15,湖口,871708
2023-09-16,2023,9,16,湖口,1243475
2023-09-17,2023,9,17,湖口,1329600
2023-09-18,2023,9,18,湖口,682694
2023-09-19,2023,9,19,湖口,669899
2023-09-20,2023,9,20,湖口,658161
2023-09-21,2023,9,21,湖口,742380
2023-09-22,2023,9,22,湖口,737096
2023-09-23,2023,9,23,湖口,979978
2023-09-24,2023,9,24,湖口,1119676
2023-09-25,2023,9,25,湖口,698675
2023-09-26,2023,9,26,湖口,667356
2023-09-27,2023,9,27,湖口,707856
2023-09-28,2023,9,28,湖口,1159168
2023-09-29,2023,9,29,湖口,1276997
2023-09-30,2023,9,30,湖口,1398707
2023-10-01,2023,10,1,湖口,1469571
2023-10-02,2023,10,2,湖口,666828
2023-10-03,2023,10,3,湖口,560837
2023-10-04,2023,10,4,湖口,526408
2023-10-05,2023,10,5,湖口,448393
2023-10-06,2023,10,6,湖口,776915
2023-10-07,2023,10,7,湖口,1371022
2023-10-08,2023,10,8,湖口,1527963
2023-10-09,2023,10,9,湖口,1652539
2023-10-10,2023,10,10,湖口,1134623
2023-10-11,2023,10,11,湖口,742238
2023-10-12,2023,10,12,湖口,675145
2023-10-13,2023,10,13,湖口,712446
2023-10-14,2023,10,14,湖口,1076074
2023-10-15,2023,10,15,湖口,1136123
2023-10-16,2023,10,16,湖口,621249
2023-10-17,2023,10,17,湖口,580081
2023-10-18,2023,10,18,湖口,596646
2023-10-19,2023,10,19,湖口,670535
2023-10-20,2023,10,20,湖口,792443
2023-10-21,2023,10,21,湖口,1121980
